Cruise,Year,Month,Day,Local time (GMT+7),Area,Station,Lat,Lon,Sample_ID,Total Depth (m),Sampling level,Sampling depth (m),Sample_Type2,D50,OC %,N %,Sed_Temp (°C),Sed_pH,Sed_ORP (mV),Wind speed (m/s),Wind direction (toward-azimuth) angle,Wind direction,Air temperature (๐C),Air pressure (mbar),Sea state,Sea state remark,Cloud cover,Transparency (m),Water temperature_meter (_deg_C),Water temperature_ctd (_deg_C),Water temperature_AAQ (_deg_C),Salinity_meter (psu),Salinity_ctd (psu),Salinity_AAQ (psu),Water_Cond. (mS/cm),Density (kg/m3),DO_Titrate (mg/L),DO_meter (mg/L),DO_CTD (mg/L),DO_AAQ (mg/L),DO_CTD-Corrected (mg/L),TSS (mg/L),Chl-a_spectro (ug/L),Chl-a_ctd (ug/L),Chl-a_AAQ (ug/L),pH,pH_CTD,pH_AAQ,OA,Phytoplankton,Zooplankton,Remark,TA (umol/kgSW),pH@25C (Spectrophotometric method),"pH 
(TOTscale)",pCO2 out (uatm),HCO3 out (umol/kgSW),CO3 out (umol/kgSW),CO2 out (umol/kgSW),"Ca
saturation","Ar
saturation","DIC est.
(umol/kgSW)",Ave,SD,Ave,SD,Saturation (nmol/KgSW),Saturation anomaly (%),Ave,SD,Saturation (nmol/KgSW),Saturation anomaly (%),pN2Oair,Phosphate (uM),Silicate (uM),Nitrite (uM),Ammonia (uM),Nitrate (uM),DOC,"TDN
(uM)","TDP
(uM)","Mn
(nM)","Mo
(nM)","U
(nM)","V
(nM)","Exchangeable Ammonia
(ug/g)","Exchangeable Nitrate
(ug/g)","Exchangeable Silicate
(ug/g)","Exchangeable Phosphate
(ug/g)","Total Phosphorus
(ug/g)","Total Silicate
(ug/g)","Total Nitrogen
(ug/g)","Calcium carbonate
(ug/g)",Total Organic Content (%),Clay,Silt,Sand,Sulfide (umol-S/g),Fraction-1_NH3,Fraction-1_NO2-,Fraction-1_N_Sum,Fraction-2_NH3,Fraction-2_NO2-,Fraction-2_N_Sum,Fraction-3_NH3,Fraction-3_NO2-,Fraction-3_N_Sum,Fraction-4_NH3,Fraction-4_NO2-,Fraction-4_N_Sum,Fraction-1_Phosphorus,Fraction-2_Phosphorus,Fraction-3_Phosphorus,Fraction-4_Phosphorus
GoT,2022,11,19,12:05,,5,13.2967,100.0825,,9.3,M,4.5,,,,,,,,,,,,,,,,3.2,29.70,28.92,,26.80,30.60,,,,3.895,,1.765,,3.01692173,10.4,,,,7.95,,,,,,,2134.726405,7.749171412,7.693977147,983.2810621,1878.776518,104.2346711,25.86440957,2.624057107,1.732613558,2008.875599,,,,,,,,,,,,0.387,58.206,0.428,2.498,2.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,12:05,,5,13.2967,100.0825,,9.3,B,8,,,,,,,,,,,,,,,,3.2,29.30,28.88,,29.20,30.68,,,,1.925,,1.205,,2.55643404,8.4,,,,7.81,,,,,,,2108.684622,7.669223986,7.615949757,1184.351187,1892.634765,87.78988589,31.1729713,2.207329063,1.457664077,2011.597622,,,,,,,,,,,,0.452,53.685,3.997,1.713,2.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,13:55,,6,13.3360,100.0015,,2.8,S,1,,,,,,,,,,,,,,,,0.8,30.60,30.49,,12.00,20.48,,,,7.64,,6.813,,7.167889336,12.42,0.5063525,,,7.94,,,,,,,2515.068419,7.842170056,7.7647787,1094.549394,2247.130127,117.1316419,29.18602487,3.240681756,2.05013922,2393.447794,,,,,,,,,,,,1.066,106.622,0.999,3.854,10.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,14:26,,7,13.3674,99.9967,,7.0,S,1,,,,,,,,,,,,,,,,0.8,30.10,30.30,,14.20,19.70,,,,5.79,,4.049,,4.895053666,20.25,0.6638085,,,7.78,,,,,,,2538.695034,7.622743316,7.555274832,1884.163018,2370.310079,73.97437931,50.65933521,2.059633154,1.295971098,2494.943794,,,,,,,,,,,,1.033,130.117,1.213,6.567,19.129,,,,,,,,1.602976516,0.531907743,9.360422746,0.330241428,10.2971558,1926.455774,553.9300439,0.099699691,0.42,0.1025,9.76,90.139,,,,,,,,,,,,,,,,,
GoT,2022,11,19,14:26,,7,13.3674,99.9967,,7.0,M,3.5,,,,,,,,,,,,,,,,0.8,30.20,30.10,,14.30,26.44,,,,5.14,,2.866,,3.922273421,17.17,,,,7.77,,,,,,,2354.83018,7.633486786,7.565897959,1568.48552,2157.342674,83.34360273,40.97719683,2.182314637,1.42353482,2281.663474,,,,,,,,,,,,1.098,109.79,0.928,5.282,12.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,14:26,,7,13.3674,99.9967,,7.0,B,6,,,,,,,,,,,,,,,,0.8,30.00,30.06,,25.40,26.67,,,,3.525,,2.608,,3.710120164,14.6,,,,7.67,,,,,,,2211.583384,7.596321313,7.53032438,1603.894738,2037.010248,72.85975644,41.89655474,1.903127327,1.242548504,2151.766559,,,,,,,,,,,,0.936,80.313,0.999,5.425,5.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,10:23,,8,13.2447,100.1349,,13.5,S,1,,,,,,,,,,,,,,,,4.1,29.40,,,26.90,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,10:23,,8,13.2447,100.1349,,13.5,M,6.5,,,,,,,,,,,,,,,,4.1,29.40,,,27.01,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,10:23,,8,13.2447,100.1349,,13.5,B,12,,,,,,,,,,,,,,,,4.1,29.00,,,30.10,,,,,,,,,,,,,,7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,9:53,,9,13.2074,100.1323,,15.7,S,1,,,,,,,,,,,,,,,,3.8,29.40,29.47,,26.90,27.47,,,,7.66,,6.651,,7.034676826,8.2,0.46706225,,,8.13,,,,,,,2150.416577,8.02609507,7.959680387,506.5371484,1744.169801,167.692791,13.36126444,4.343955866,2.840408253,1925.223856,,,,,,,,,,,,0.323,51.798,0.286,1.856,1.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
