Cruise,Year,Month,Day,Local time (GMT+7),Area,Station,Lat,Lon,Sample_ID,Total Depth (m),Sampling level,Sampling depth (m),Sample_Type2,D50,OC %,N %,Sed_Temp (°C),Sed_pH,Sed_ORP (mV),Wind speed (m/s),Wind direction (toward-azimuth) angle,Wind direction,Air temperature (๐C),Air pressure (mbar),Sea state,Sea state remark,Cloud cover,Transparency (m),Water temperature_meter (_deg_C),Water temperature_ctd (_deg_C),Water temperature_AAQ (_deg_C),Salinity_meter (psu),Salinity_ctd (psu),Salinity_AAQ (psu),Water_Cond. (mS/cm),Density (kg/m3),DO_Titrate (mg/L),DO_meter (mg/L),DO_CTD (mg/L),DO_AAQ (mg/L),DO_CTD-Corrected (mg/L),TSS (mg/L),Chl-a_spectro (ug/L),Chl-a_ctd (ug/L),Chl-a_AAQ (ug/L),pH,pH_CTD,pH_AAQ,OA,Phytoplankton,Zooplankton,Remark,TA (umol/kgSW),pH@25C (Spectrophotometric method),"pH 
(TOTscale)",pCO2 out (uatm),HCO3 out (umol/kgSW),CO3 out (umol/kgSW),CO2 out (umol/kgSW),"Ca
saturation","Ar
saturation","DIC est.
(umol/kgSW)",Ave,SD,Ave,SD,Saturation (nmol/KgSW),Saturation anomaly (%),Ave,SD,Saturation (nmol/KgSW),Saturation anomaly (%),pN2Oair,Phosphate (uM),Silicate (uM),Nitrite (uM),Ammonia (uM),Nitrate (uM),DOC,"TDN
(uM)","TDP
(uM)","Mn
(nM)","Mo
(nM)","U
(nM)","V
(nM)","Exchangeable Ammonia
(ug/g)","Exchangeable Nitrate
(ug/g)","Exchangeable Silicate
(ug/g)","Exchangeable Phosphate
(ug/g)","Total Phosphorus
(ug/g)","Total Silicate
(ug/g)","Total Nitrogen
(ug/g)","Calcium carbonate
(ug/g)",Total Organic Content (%),Clay,Silt,Sand,Sulfide (umol-S/g),Fraction-1_NH3,Fraction-1_NO2-,Fraction-1_N_Sum,Fraction-2_NH3,Fraction-2_NO2-,Fraction-2_N_Sum,Fraction-3_NH3,Fraction-3_NO2-,Fraction-3_N_Sum,Fraction-4_NH3,Fraction-4_NO2-,Fraction-4_N_Sum,Fraction-1_Phosphorus,Fraction-2_Phosphorus,Fraction-3_Phosphorus,Fraction-4_Phosphorus
GoT,2023,5,22,8:57,,30,13.03791,100.53865,,20.5,M,10,,,,,,,,5,210,NE,30,1010,Slight/moderate,High swell,less than 1/10,5.6,31.70,31.49,,31.20,31.86,,,,6.33,,4.366,,6.41891206,,,,,8.1,,,,,,,2114.363182,8.125663183,8.027825942,386.8274489,1582.634195,214.3222409,9.532639658,5.374058814,3.592588892,1806.489076,1885.970976,0.545781076,5.268204226,0.041652076,5.364983063,98.19610171,5.284312324,0.041779431,5.463095317,96.72744145,333,0.041,2.362,0,2.816,2.547,,,,11.7620775,100.2309577,11.77827658,30.03791064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,22,8:57,,30,13.03791,100.53865,,20.5,B,19,,,,,,,,5,210,NE,30,1010,Slight/moderate,High swell,less than 1/10,5.6,31.40,31.49,,31.20,31.88,,,,6.3,,4.324,,6.371082968,,,,,8.1,,,,,,,2134.96962,8.122760873,8.024706985,393.8251589,1601.213923,215.5355715,9.704576139,5.396853641,3.608431999,1826.45407,1885.427101,0.628269325,5.215365625,0.088908318,5.409181344,96.41691216,5.231312163,0.089180165,5.508672981,94.96501574,333,0.083,2.613,0.104,2.621,1.965,,,,20.3527683,100.9699786,11.88279707,29.6361376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,22,10:44,,31,13.13433,100.52961,,19,S,1,,,,,,,,5,190,N,29.5,1009,Slight/moderate,,less than 1/10,6.5,32.10,31.78,,31.20,31.78,,,,6.515,,4.544,,6.621616305,,,,,8.07,,,,,,,2127.18097,8.139128605,8.037026453,379.3820014,1581.083854,220.4369192,9.291617711,5.542695574,3.707876573,1810.812391,1875.104879,1.014875715,5.332784738,0.259741412,5.306804491,100.4895648,5.349090298,0.260535599,5.403100366,99.00038749,333,0.041,1.407,0.063,1.942,2.245,,,,47.41811015,105.0388151,12.93841926,32.69683969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,22,10:44,,31,13.13433,100.52961,,19,M,9.5,,,,,,,,5,190,N,29.5,1009,Slight/moderate,,less than 1/10,6.5,31.50,31.60,,31.30,31.84,,,,6.425,,4.291,,6.333502968,,,,,8.05,,,,,,,2123.417343,8.128721648,8.029201753,386.9689632,1587.098132,216.3715987,9.513223952,5.428427855,3.630140057,1812.982955,1886.048227,0.342314635,5.054883543,0.2236949,5.39135776,93.75900781,5.070420811,0.224382475,5.490735719,92.34501659,333,0.165,1.457,0,2.233,1.806,,,,33.90874986,101.2307361,12.26901151,31.51518365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,22,10:44,,31,13.13433,100.52961,,19,B,18,,,,,,,,5,190,N,29.5,1009,Slight/moderate,,less than 1/10,6.5,31.60,31.57,,31.30,31.87,,,,6.38,,4.206,,6.236705997,,,,,8.09,,,,,,,2120.961629,8.126898423,8.027598424,387.851965,1586.510634,215.5320036,9.540306688,5.399515051,3.611062401,1811.582944,1887.384952,0.426090526,5.486660336,0.408445216,5.376634551,102.046369,5.503524762,0.409700659,5.475551837,100.5108695,333,0.207,1.709,0,2.33,1.978,,,,51.01938432,99.14870514,11.90461786,30.39693038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,22,11:54,,32,13.2277,100.53351,,16,S,1,,,,,,,,5,173,N,30.5,1012,Slight/moderate,,less than 1/10,4.4,32.50,,,31.30,,,,,,,4.495,,6.565815698,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,22,11:54,,32,13.2277,100.53351,,16,M,8,,,,,,,,5,173,N,30.5,1012,Slight/moderate,,less than 1/10,4.4,32.10,,,31.30,,,,,,,4.338,,6.387025999,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,22,11:54,,32,13.2277,100.53351,,16,B,15,,,,,,,,5,173,N,30.5,1012,Slight/moderate,,less than 1/10,4.4,31.80,,,31.30,,,,,,,4.235,,6.269730846,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,22,12:29,,33,13.28083,100.52662,,13.8,S,1,,,,,,,,3,205,NE,31,1009,Slight/moderate,,less than 1/10,1.7,32.40,32.32,,30.40,30.91,,,,7.29,,5.098,,7.252504799,,,,,8.13,,,,,,,2139.808869,8.135522923,8.025415207,398.2962012,1604.349559,217.2947781,9.679386414,5.516281849,3.687530775,1831.323723,1891.56299,0.20196101,5.455795625,0.114824871,5.287407994,103.1846915,5.471771767,0.115161111,5.379624924,101.712886,333,0.124,17.337,0.021,2.524,1.954,,,,29.58976408,104.4058057,13.125718,45.74511784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,22,12:29,,33,13.28083,100.52662,,13.8,M,6.5,,,,,,,,3,205,NE,31,1009,Slight/moderate,,less than 1/10,1.7,31.60,31.55,,30.80,31.31,,,,6.075,,4.135,,6.155852056,,,,,8.03,,,,,,,2114.644552,8.069380641,7.971529706,457.3668638,1638.334438,192.6598904,11.28617215,4.857455458,3.242640218,1842.280501,1928.235643,0.147808652,5.472550345,0.104847553,5.39178683,101.4978989,5.488929963,0.105161367,5.488965797,99.99934717,333,0.124,14.372,0.042,2.233,1.911,,,,13.4564072,104.6955474,12.87785955,42.3242274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,22,12:29,,33,13.28083,100.52662,,13.8,B,13,,,,,,,,3,205,NE,31,1009,Slight/moderate,,less than 1/10,1.7,31.70,31.64,,31.10,31.67,,,,5.67,,3.881,,5.866599931,,,,,8.01,,,,,,,2133.25686,8.037250542,7.938218165,504.4133844,1676.485566,184.8879479,12.39954318,4.644294592,3.104798149,1873.773057,1929.743955,2.139121757,5.38002058,0.355471009,5.368002396,100.2238856,5.396383843,0.35655217,5.465768256,98.7305643,333,0.124,11.709,0.167,4.078,2.2,,,,40.36115579,105.5724348,12.79270926,37.4506685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,22,13:15,,34,13.32775,100.531,,11.6,S,1,,,,,,,,5,240,NE,31.1,1009,Slight/moderate,,less than 1/10,1.8,32.50,,,29.70,,,,,,,5.124,,7.282113284,,,,,8.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,22,13:15,,34,13.32775,100.531,,11.6,M,5.5,,,,,,,,5,240,NE,31.1,1009,Slight/moderate,,less than 1/10,1.8,31.50,,,29.80,,,,,,,4.024,,6.0294466,,,,,8.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,22,13:15,,34,13.32775,100.531,,11.6,B,11,,,,,,,,5,240,NE,31.1,1009,Slight/moderate,,less than 1/10,1.8,31.40,,,30.30,,,,,,,2.889,,4.73692234,,,,,8.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,22,13:38,,35,13.36417,100.53135,,8.5,S,1,,,,,,,,8,210,NE,29.6,1009,Slight/moderate,,2/10 to 3/10,1.6,32.30,32.37,,28.90,29.32,,,,6.33,,4.575,,6.65691873,,,,,8.06,,,,,,,2200.382783,8.067291359,7.957517979,507.3407048,1731.396049,192.9191737,12.41233027,4.969305972,3.304438081,1936.727553,1983.993098,0.276109642,5.807956476,0.066139062,5.34662008,108.6285614,5.823542689,0.066316553,5.434072036,107.1671971,333,0.248,23.769,0.063,2.136,2.104,,,,19.25846058,99.36955646,12.65497022,45.96518187,8.94056116,0.554800595,19.39550157,1.80931151,13.26906215,1774.1,1467.144723,0.250165162,1.43,2.934,52.762,44.3065,,,,,,,,,,,,,,,,,
GoT,2023,5,22,13:38,,35,13.36417,100.53135,,8.5,M,4,,,,,,,,8,210,NE,29.6,1009,Slight/moderate,,2/10 to 3/10,1.6,32.00,31.43,,29.00,30.15,,,,6.215,,4.123,,6.142186602,,,,,8.07,,,,,,,2191.377032,8.066082604,7.970025426,483.6445644,1716.314496,194.4949049,12.03376168,4.954742675,3.293928533,1922.843163,1973.138077,0.040113461,5.147697507,0.098475296,5.387468305,95.54947177,5.161596289,0.098741179,5.476562589,94.24883228,333,0.331,24.07,0.104,2.039,1.896,,,,31.6086658,100.6713121,12.58430281,47.1697906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,22,13:38,,35,13.36417,100.53135,,8.5,B,7.5,,,,,,,,8,210,NE,29.6,1009,Slight/moderate,,2/10 to 3/10,1.6,31.50,31.46,,29.90,30.79,,,,4.745,,2.808,,4.644680521,,,,,7.97,,,,,,,2174.048629,7.961381997,7.86630952,633.9696171,1778.379525,161.5167021,15.71400705,4.089830827,2.725022879,1955.610234,1985.166558,0.316006021,5.538272069,0.203139553,5.434024688,101.9184194,5.554039786,0.2037179,5.528498097,100.4620005,333,0.083,21.156,0.604,2.427,2.34,,,,89.51593162,103.8992864,12.71665077,45.65424585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,12:54,,36,13.40225,100.56059,,6.7,S,1,,,,,,,,3,250,E,29.7,1018,Slight/moderate,High swell,less than 1/10,0.5,32.60,,,27.50,,,,,,,5.137,,7.296917526,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,12:54,,36,13.40225,100.56059,,6.7,M,3,,,,,,,,3,250,E,29.7,1018,Slight/moderate,High swell,less than 1/10,0.5,32.20,,,27.70,,,,,,,4.181,,6.208236299,,,,,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,12:54,,36,13.40225,100.56059,,6.7,B,6,,,,,,,,3,250,E,29.7,1018,Slight/moderate,High swell,less than 1/10,0.5,31.90,,,28.70,,,,,,,3.684,,5.642258716,,,,,8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,12:07,,37,13.43352,100.59648,,4.2,S,1,,,,,,,,5,330,SE,31.8,1018,Slight/moderate,High swell,less than 1/10,0.2,32.30,32.88,,24.90,25.04,,,,5.5,,3.801,,5.7754969,,,,,7.89,,,,,,,2190.667976,7.901188464,7.787883929,844.1560465,1883.696043,128.8727011,20.84697214,3.45839853,2.26141516,2033.415716,2071.259326,1.882446238,13.26485036,0.26521972,5.468031305,242.5891445,13.29160331,0.265754623,5.541170119,239.8699739,333,2.975,22.513,13.542,3.689,15.514,,,,93.41211742,83.99496054,11.58652185,49.52834334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,12:07,,37,13.43352,100.59648,,4.2,B,3,,,,,,,,5,330,SE,31.8,1018,Slight/moderate,High swell,less than 1/10,0.2,32.10,32.21,,25.30,25.98,,,,5.155,,3.443,,5.367810833,,,,,7.89,,,,,,,2197.582124,7.925970685,7.821424799,765.4313621,1866.795393,138.2817541,19.1017121,3.6673339,2.403590223,2024.178859,2062.720304,0.075275759,11.1799142,0.022090717,5.4856436,203.8031453,11.20321813,0.022136764,5.561035556,201.4592069,333,2.438,21.96,9.375,3.495,13.625,,,,60.39930291,88.53635892,11.79209523,46.94057545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,11:19,,38,13.46964,100.6515,,2.3,S,1,,,,,,,,4,280,E,29.7,1018,Slight/moderate,,less than 1/10,0.1,32.60,32.87,,24.90,22.52,,,,4.735,,2.395,,4.17436112,,,,,7.73,,,,,,,2231.381666,7.734552003,7.628011884,1340.30094,2022.560897,89.0428011,33.51088949,2.44657689,1.578326007,2145.114588,2147.936301,0.199603516,24.54118977,0.328560284,5.42351215,452.4962625,24.59068519,0.329222935,5.495482758,447.4708824,333,6.983,27.94,25,11.165,40.278,,,,1222.842525,70.33304284,10.68863982,62.3817567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,10:10,,39,13.53979,100.59861,,3.5,S,1,,,,,,,,3,230,NE,30.2,1018,Slight/moderate,,less than 1/10,0.1,33.00,32.90,,18.40,18.73,,,,3.385,,1.769,,3.461479898,,,,,7.53,,,,,,,2275.536579,7.527260398,7.433951005,2322.790587,2151.548179,54.05400265,59.11424804,1.542457271,0.972129094,2264.71643,2259.391584,1.99934301,41.84575708,1.455865215,5.563753246,752.1138202,41.88293569,1.457158705,5.609974989,746.5797223,333,6.116,30.352,38.542,5.437,75.347,,,,317.0586344,66.44933947,8.862083194,51.36105093,15.15331605,0.122124395,17.61911824,3.195637792,14.01624601,2344.818734,1766.012465,0.13728516,2.1,2.7355,46.9065,50.3605,,,,,,,,,,,,,,,,,
GoT,2023,5,21,10:10,,39,13.53979,100.59861,,3.5,B,3,,,,,,,,3,230,NE,30.2,1018,Slight/moderate,,less than 1/10,0.1,,32.90,,,18.71,,,,,,1.707,,3.390875049,,,,,,,,,,,,2273.623424,7.564116627,7.468502662,2134.0883,2140.160894,58.17995998,54.32030375,1.660265233,1.04622877,2252.661157,2278.541092,0.088947669,49.557488,1.014841724,5.569571684,889.7899302,49.60416043,1.015797485,5.617272884,883.0648155,333,6.446,30.653,42.708,6.019,67.569,,,,279.3297955,64.19049484,8.843199684,52.4142432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,13:46,,40,13.41503,100.66511,,9.4,S,1,,,,,,,,5,280,E,28.9,1008,Slight/moderate,High swell,less than 1/10,0.2,32.60,31.67,,26.50,28.16,,,,6.11,,4.203,,6.233289633,,,,,7.94,,,,,,,2169.869099,7.985044235,7.886917639,616.8984299,1782.766901,159.7680613,15.41638433,4.147578933,2.739264102,1957.951346,1994.176129,0.020931775,7.96923954,0.312637559,5.194327479,153.4219699,7.995394135,0.313663618,5.293090179,151.0534275,333,2.273,19.749,10.667,2.621,13.389,,,,33.81406046,90.7035396,12.10265262,49.35746322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,13:46,,40,13.41503,100.66511,,9.4,M,4.5,,,,,,,,5,280,E,28.9,1008,Slight/moderate,High swell,less than 1/10,0.2,31.60,31.61,,29.30,30.56,,,,5.28,,3.16,,5.045533859,,,,,7.94,,,,,,,2192.884583,7.964740723,7.867651929,638.9705844,1793.905053,163.2974514,15.80506881,4.146778806,2.762211986,1973.007573,1988.030227,,5.389037655,0.097393702,5.437500236,99.10873418,5.403852827,0.09766145,5.529405042,97.72937208,333,0.744,18.744,2.271,5.146,2.94,,,,31.62363417,98.88702109,12.62969992,45.51190651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,13:46,,40,13.41503,100.66511,,9.4,B,8,,,,,,,,5,280,E,28.9,1008,Slight/moderate,High swell,less than 1/10,0.2,31.40,31.47,,30.40,31.04,,,,3.225,,1.938,,3.653935052,,,,,7.85,,,,,,,2126.309381,7.886853096,7.792981335,753.1274312,1786.784357,137.9811096,18.64083317,3.485939005,2.324563782,1943.4063,1985.464992,1.592704992,5.70540665,0.358309168,5.403091061,105.595234,5.723035264,0.359416274,5.503279587,103.9931767,333,0.992,15.276,7.292,4.369,3.103,,,,141.7974032,99.9627008,12.5924152,42.8696036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,14:29,,41,13.38303,100.66683,,14.8,S,1,,,,,,,,7,210,NE,29.6,1008,Slight/moderate,High swell,less than 1/10,0.6,32.60,,,27.40,,,,,,,5.371,,7.563393894,,,,,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,14:29,,41,13.38303,100.66683,,14.8,M,7,,,,,,,,7,210,NE,29.6,1008,Slight/moderate,High swell,less than 1/10,0.6,31.40,,,29.70,,,,,,,3.255,,5.153718709,,,,,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,14:29,,41,13.38303,100.66683,,14.8,B,14,,,,,,,,7,210,NE,29.6,1008,Slight/moderate,High swell,less than 1/10,0.6,31.00,,,30.00,,,,,,,2.21,,3.96368536,,,,,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,14:57,,42,13.33572,100.66755,,14.5,S,1,,,,,,,,3,270,E,29.2,1008,Slight/moderate,High swell,4/10-6/10,0.7,32.80,33.16,,27.80,28.60,,,,7.44,,5.332,,7.518981166,,,,,8.07,,,,,,,2198.938355,8.10003134,7.978021566,482.3083106,1710.174152,201.63348,11.63635011,5.243880291,3.486995729,1923.443982,1970.104069,2.027196653,5.057287239,0.068418647,5.307160648,95.2917685,5.069942138,0.068589851,5.388668366,94.08525063,333,0.62,21.91,0.167,3.398,3.667,,,,18.05862365,92.84962377,11.9967047,41.78542026,4.55,0.45,17.3,4.1,11.04467479,1235.36725,1198.311395,1.059074689,0.99,1.581,34.381,64.039,,,,,,,,,,,,,,,,,
GoT,2023,5,21,14:57,,42,13.33572,100.66755,,14.5,M,7,,,,,,,,3,270,E,29.2,1008,Slight/moderate,High swell,4/10-6/10,0.7,31.60,31.59,,29.70,30.81,,,,5.48,,3.7,,5.660479322,,,,,7.96,,,,,,,2171.060371,8.002484305,7.904967472,569.2281634,1744.37758,174.0352616,14.06857864,4.408019259,2.938462657,1932.48142,1954.04264,0.993538061,5.342832849,0.102009525,5.425272251,98.48045594,5.357870036,0.102296627,5.518592221,97.08762346,333,0.413,18.492,0.896,3.689,2.382,,,,23.17042275,99.326543,12.4750754,43.37484146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,14:57,,42,13.33572,100.66755,,14.5,B,13.5,,,,,,,,3,270,E,29.2,1008,Slight/moderate,High swell,4/10-6/10,0.7,31.60,31.58,,30.70,31.35,,,,4.785,,3.196,,5.086530224,,,,,7.96,,,,,,,2151.333878,7.993974198,7.896403312,573.5348694,1729.142048,171.5122327,14.13829737,4.319402288,2.884393236,1914.792578,1943.619699,0.30747902,5.076860698,0.164066292,5.394822404,94.10616918,5.091973898,0.164554698,5.491652527,92.72206995,333,0.496,11.407,0.417,4.272,2.194,,,,16.38972078,102.6406284,12.7076656,38.53779615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,16:24,,43,13.28641,100.66552,,17.8,S,1,,,,,,,,5,260,E,30.7,1009,Slight/moderate,High swell,4/10-6/10,5.7,32.00,,,30.30,,,,,,,4.685,,6.782185398,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,16:24,,43,13.28641,100.66552,,17.8,M,8.9,,,,,,,,5,260,E,30.7,1009,Slight/moderate,High swell,4/10-6/10,5.7,31.50,,,30.80,,,,,,,4.256,,6.293645392,,,,,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,16:24,,43,13.28641,100.66552,,17.8,B,17,,,,,,,,5,260,E,30.7,1009,Slight/moderate,High swell,4/10-6/10,5.7,31.50,,,30.90,,,,,,,3.964,,5.961119326,,,,,8.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,17:00,,44,13.23398,100.66577,,21.3,S,1,,,,,,,,5,240,NE,29.7,1009,Slight/moderate,High swell,4/10-6/10,5.4,31.80,32.13,,29.80,30.52,,,,6.835,,4.591,,6.675139336,,,,,8.1,,,,,,,2122.972435,8.116868577,8.009988502,415.2471445,1612.526513,207.2496824,10.15496756,5.2764613,3.520356405,1829.931163,1879.000267,0.714591506,5.504877911,0.197038266,5.392652119,102.0810872,5.520460896,0.197596034,5.485434953,100.6385263,333,0.331,7.437,0,1.942,2.611,,,,21.17207849,100.1007005,12.20872527,42.07051528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,17:00,,44,13.23398,100.66577,,21.3,M,10.5,,,,,,,,5,240,NE,29.7,1009,Slight/moderate,High swell,4/10-6/10,5.4,31.50,31.64,,30.70,31.49,,,,6.04,,3.713,,5.675283565,,,,,8.04,,,,,,,2147.276773,8.073824111,7.974348856,459.8295154,1659.036978,197.9243348,11.31333233,4.981462689,3.328360218,1868.274645,1908.093634,0.090613613,5.212270854,0.17155976,5.40960243,96.35219819,5.227787153,0.172070473,5.506887928,94.93178764,333,0.207,8.141,0.042,1.65,2.125,,,,25.34217999,101.7848232,12.29962284,38.81550266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,17:00,,44,13.23398,100.66577,,21.3,B,20,,,,,,,,5,240,NE,29.7,1009,Slight/moderate,High swell,4/10-6/10,5.4,31.40,31.64,,31.00,31.58,,,,5.47,,3.624,,5.573931442,,,,,8.03,,,,,,,2146.124929,8.034914287,7.93569141,511.3121525,1689.858045,184.9712142,12.5746351,4.645826844,3.105284783,1887.403894,1916.955771,0.143850975,5.446744875,0.170377704,5.415278488,100.5810668,5.463223208,0.170893157,5.514071657,99.07784208,333,0.331,8.191,0.146,2.427,2.993,,,,21.25279972,100.9538821,12.24610735,34.51182874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,18:19,,45,13.13404,100.66491,,20,S,1,,,,,,,,4,270,E,29.2,1008,Slight/moderate,High swell,4/10-6/10,5.4,31.60,32.12,,30.20,31.20,,,,5.63,,4.624,,6.712719337,,,,,8.11,,,,,,,2117.125075,8.117453927,8.010616584,409.7769264,1599.484891,209.400939,9.988787835,5.298269182,3.542519834,1818.874618,1860.5238,0.340306452,5.414649848,0.466109404,5.410025915,100.0854697,5.430329754,0.467459178,5.505105906,98.64169458,333,0.992,3.317,0.271,3.883,1.896,,,,516.6639727,92.52863614,12.38005996,43.56922576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,18:19,,45,13.13404,100.66491,,20,M,10,,,,,,,,4,270,E,29.2,1008,Slight/moderate,High swell,4/10-6/10,5.4,31.40,31.67,,31.10,31.76,,,,6.58,,4.403,,6.461047212,,,,,8.12,,,,,,,2127.188337,8.129117318,8.028575193,388.6633095,1590.61845,216.6319201,9.544371435,5.439721927,3.63771492,1816.794742,1879.013091,0.139452771,5.412256726,0.094329784,5.412229058,100.0005112,5.428718035,0.094616687,5.511371658,98.50030758,333,1.488,2.513,0,2.039,2.5,,,,17.23299066,114.7474292,14.62416327,41.37340232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,21,18:19,,45,13.13404,100.66491,,20,B,19,,,,,,,,4,270,E,29.2,1008,Slight/moderate,High swell,4/10-6/10,5.4,31.30,31.65,,31.20,31.80,,,,5.9,,4.329,,6.376776908,,,,,8.11,,,,,,,2142.652297,8.123025158,8.02250467,397.985484,1607.893139,216.1851333,9.774806454,5.419804129,3.625019035,1833.853079,1884.905377,0.127943194,5.587335671,0.417840766,5.424023134,103.0109115,5.604419548,0.419118358,5.523977861,101.4562275,333,0.207,2.312,0,2.039,2.5,,,,13.70556105,97.29635954,11.90721202,28.94991247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2023,5,22,6:26,,46,13.04053,100.66471,,23,S,1,,,,,,,,4,340,SE,29.4,1018,Slight/moderate,High swell,less than 1/10,7,31.00,31.49,,31.10,31.72,,,,6.04,,4.46,,6.525958122,,,,,8.09,,,,,,,2146.159748,8.122271073,8.024785853,397.4099668,1612.333919,215.9712174,9.800245347,5.428037244,3.626913224,1838.105381,1882.700796,0.680808066,5.850744845,0.591563508,5.471965846,106.922174,5.868539809,0.593362741,5.572967213,105.3036845,333,0.248,1.558,0,2.524,2.667,,,,16.22094251,98.30131732,12.58281922,31.22387376,6.14952227,0.533055516,12.16153572,4.366978882,5.229755823,1101.367642,611.8311731,2.279209154,0.54,0.7785,20.597,78.6245,,,,,,,,,,,,,,,,,
GoT,2023,5,22,6:26,,46,13.04053,100.66471,,23,M,11.5,,,,,,,,4,340,SE,29.4,1018,Slight/moderate,High swell,less than 1/10,7,31.10,31.51,,31.30,31.84,,,,6.455,,4.328,,6.37563812,,,,,8.1,,,,,,,2137.477963,8.109944623,8.011999602,409.5069087,1615.393594,210.977915,10.08880749,5.290314695,3.536678883,1836.460317,1885.832446,0.420574386,5.488978225,0.138017623,5.450797267,100.7004656,5.505849775,0.13844185,5.552034469,99.16814829,333,0.165,1.206,0,4.369,1.722,,,,10.9533864,101.4778081,12.40770683,31.96340038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
